coral_number,first_seen_year,years_since,display_year,opacity_pct,fade_label,length,width,height,died_this_year,volume_cm3,status
LTER1_BR_T01_Acr_0.02_2_50,2019,0,2019,100,Year +0,3,3,3,0,21.205750411731103,Recruited
LTER1_BR_T01_Acr_0.02_2_50,2019,1,2020,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Acr_0.02_2_50,2019,2,2021,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.02_2_50,2019,3,2022,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.02_2_50,2019,4,2023,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.02_2_50,2019,5,2024,17,Year +5,NA,NA,NA,NA,NA,Surviving
LTER1_BR_T01_Acr_0.02_55_65,2013,0,2013,100,Year +0,10.8,7.2,15.6,0,992.4291192690156,Recruited
LTER1_BR_T01_Acr_0.02_55_65,2013,1,2014,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Acr_0.02_55_65,2013,2,2015,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.02_55_65,2013,3,2016,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.02_55_65,2013,4,2017,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.02_55_65,2013,5,2018,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.03_59_57,2013,0,2013,100,Year +0,7.7,3.7,7.7,0,196.48541473162985,Recruited
LTER1_BR_T01_Acr_0.03_59_57,2013,1,2014,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Acr_0.03_59_57,2013,2,2015,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.03_59_57,2013,3,2016,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.03_59_57,2013,4,2017,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.03_59_57,2013,5,2018,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.05_37_52,2014,0,2014,100,Year +0,4.3,2.6,3,0,28.044604919514384,Recruited
LTER1_BR_T01_Acr_0.05_37_52,2014,1,2015,83,Year +1,6.9,5.4,5.8,0,172.29318780357994,Surviving
LTER1_BR_T01_Acr_0.05_37_52,2014,2,2016,67,Year +2,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Acr_0.05_37_52,2014,3,2017,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.05_37_52,2014,4,2018,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.05_37_52,2014,5,2019,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.07_51_51,2013,0,2013,100,Year +0,4.5,2,4,0,33.18307240354219,Recruited
LTER1_BR_T01_Acr_0.07_51_51,2013,1,2014,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Acr_0.07_51_51,2013,2,2015,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.07_51_51,2013,3,2016,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.07_51_51,2013,4,2017,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.07_51_51,2013,5,2018,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.09_43_55,2014,0,2014,100,Year +0,1.9,1.5,2.6,0,5.901481799768425,Recruited
LTER1_BR_T01_Acr_0.09_43_55,2014,1,2015,83,Year +1,5.9,4.1,5.1,0,100.13826583317466,Surviving
LTER1_BR_T01_Acr_0.09_43_55,2014,2,2016,67,Year +2,4,0.8,4.1,0,18.547963026794136,Surviving
LTER1_BR_T01_Acr_0.09_43_55,2014,3,2017,50,Year +3,9.4,7.4,3.8,0,210.587238755431,Surviving
LTER1_BR_T01_Acr_0.09_43_55,2014,4,2018,33,Year +4,11.7,7.8,7.2,0,537.5657729373835,Surviving
LTER1_BR_T01_Acr_0.09_43_55,2014,5,2019,17,Year +5,12,7,7.5,1,531.6163818496477,Died this year
LTER1_BR_T01_Acr_0.09_48_65,2013,0,2013,100,Year +0,15.2,9.6,14.8,0,1787.289759739076,Recruited
LTER1_BR_T01_Acr_0.09_48_65,2013,1,2014,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Acr_0.09_48_65,2013,2,2015,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.09_48_65,2013,3,2016,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.09_48_65,2013,4,2017,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.09_48_65,2013,5,2018,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.1_5_58,2021,0,2021,100,Year +0,1.8,1.4,1.8,0,3.619114736935442,Recruited
LTER1_BR_T01_Acr_0.1_5_58,2021,1,2022,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Acr_0.1_5_58,2021,2,2023,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.1_5_58,2021,3,2024,50,Year +3,NA,NA,NA,NA,NA,Surviving
LTER1_BR_T01_Acr_0.23_12_41,2021,0,2021,100,Year +0,2.2,1.1,2.5,0,5.345616249623884,Recruited
LTER1_BR_T01_Acr_0.23_12_41,2021,1,2022,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Acr_0.23_12_41,2021,2,2023,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.23_12_41,2021,3,2024,50,Year +3,NA,NA,NA,NA,NA,Surviving
LTER1_BR_T01_Acr_0.85_75_31,2021,0,2021,100,Year +0,1.1,0.6,0.7,0,0.3972151211382595,Recruited
LTER1_BR_T01_Acr_0.85_75_31,2021,1,2022,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Acr_0.85_75_31,2021,2,2023,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_0.85_75_31,2021,3,2024,50,Year +3,NA,NA,NA,NA,NA,Surviving
LTER1_BR_T01_Acr_1.6_50_20,2018,0,2018,100,Year +0,2,1.8,1.8,0,5.103517265756619,Recruited
LTER1_BR_T01_Acr_1.6_50_20,2018,1,2019,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Acr_1.6_50_20,2018,2,2020,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_1.6_50_20,2018,3,2021,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_1.6_50_20,2018,4,2022,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_1.6_50_20,2018,5,2023,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_2.75_38_15,2019,0,2019,100,Year +0,2.5,2,2,0,7.9521564043991635,Recruited
LTER1_BR_T01_Acr_2.75_38_15,2019,1,2020,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Acr_2.75_38_15,2019,2,2021,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_2.75_38_15,2019,3,2022,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_2.75_38_15,2019,4,2023,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Acr_2.75_38_15,2019,5,2024,17,Year +5,NA,NA,NA,NA,NA,Surviving
LTER1_BR_T01_Acr_2.88_31_18,2024,0,2024,100,Year +0,0.6,0.4,0.7,0,0.13744467859455345,Recruited
LTER1_BR_T01_Acr_4.65_0_15,2024,0,2024,100,Year +0,3,1.9,2.3,0,10.843010694324324,Recruited
LTER1_BR_T01_Mil_0.04_62_57,2022,0,2022,100,Year +0,1.5,0.9,0.2,0,0.2261946710584651,Recruited
LTER1_BR_T01_Mil_0.04_62_57,2022,1,2023,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Mil_0.04_62_57,2022,2,2024,67,Year +2,NA,NA,NA,NA,NA,Surviving
LTER1_BR_T01_Mil_0.07_59_57,2022,0,2022,100,Year +0,5.2,4.4,1,0,18.095573684677213,Recruited
LTER1_BR_T01_Mil_0.07_59_57,2022,1,2023,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Mil_0.07_59_57,2022,2,2024,67,Year +2,NA,NA,NA,NA,NA,Surviving
LTER1_BR_T01_Poc_0.05_33_50,2018,0,2018,100,Year +0,3,3,3.1,0,14.613661219495762,Recruited
LTER1_BR_T01_Poc_0.05_33_50,2018,1,2019,83,Year +1,5,5.5,5,1,72.21542186967095,Died this year
LTER1_BR_T01_Poc_0.05_33_50,2018,2,2020,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.05_33_50,2018,3,2021,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.05_33_50,2018,4,2022,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.05_33_50,2018,5,2023,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.31_10_57,2014,0,2014,100,Year +0,1.4,0.9,1.4,0,0.9822906955696524,Recruited
LTER1_BR_T01_Poc_0.31_10_57,2014,1,2015,83,Year +1,2,1,2.8,0,3.783718677945751,Surviving
LTER1_BR_T01_Poc_0.31_10_57,2014,2,2016,67,Year +2,5.2,3.2,4.5,0,41.62976785149394,Surviving
LTER1_BR_T01_Poc_0.31_10_57,2014,3,2017,50,Year +3,10,9.9,5.8,0,329.1805967066464,Surviving
LTER1_BR_T01_Poc_0.31_10_57,2014,4,2018,33,Year +4,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_0.31_10_57,2014,5,2019,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.4_5_50,2018,0,2018,100,Year +0,2.5,3,2,0,8.18123086872342,Recruited
LTER1_BR_T01_Poc_0.4_5_50,2018,1,2019,83,Year +1,4.5,5,6,0,72.21542186967095,Surviving
LTER1_BR_T01_Poc_0.4_5_50,2018,2,2020,67,Year +2,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_0.4_5_50,2018,3,2021,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.4_5_50,2018,4,2022,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.4_5_50,2018,5,2023,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.5_50_0,2018,0,2018,100,Year +0,4.5,4.2,2.1,0,24.42902447431422,Recruited
LTER1_BR_T01_Poc_0.5_50_0,2018,1,2019,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_0.5_50_0,2018,2,2020,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.5_50_0,2018,3,2021,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.5_50_0,2018,4,2022,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.5_50_0,2018,5,2023,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.73_79_21,2022,0,2022,100,Year +0,1.3,0.8,1,0,0.5777233749573676,Recruited
LTER1_BR_T01_Poc_0.73_79_21,2022,1,2023,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_0.73_79_21,2022,2,2024,67,Year +2,NA,NA,NA,NA,NA,Surviving
LTER1_BR_T01_Poc_0.76_70_20,2018,0,2018,100,Year +0,1.5,1.5,0.5,0,0.8314554631028542,Recruited
LTER1_BR_T01_Poc_0.76_70_20,2018,1,2019,83,Year +1,2,2,2.5,0,5.325678286988251,Surviving
LTER1_BR_T01_Poc_0.76_70_20,2018,2,2020,67,Year +2,3,1.5,3,0,8.18123086872342,Surviving
LTER1_BR_T01_Poc_0.76_70_20,2018,3,2021,50,Year +3,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_0.76_70_20,2018,4,2022,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.76_70_20,2018,5,2023,17,Year +5,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_0.77_79_21,2023,0,2023,100,Year +0,2,0.9,1.2,0,1.3365537486300123,Recruited
LTER1_BR_T01_Poc_0.77_79_21,2023,1,2024,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_0.85_72_30,2021,0,2021,100,Year +0,1.4,1.1,0.9,0,0.762204676893168,Recruited
LTER1_BR_T01_Poc_0.85_72_30,2021,1,2022,83,Year +1,2.5,2.1,2,0,5.575279762570684,Surviving
LTER1_BR_T01_Poc_0.85_72_30,2021,2,2023,67,Year +2,3.3,2.7,2.6,0,12.33474603007228,Surviving
LTER1_BR_T01_Poc_0.85_72_30,2021,3,2024,50,Year +3,5.7,5.3,4.2,0,68.10290255319669,Surviving
LTER1_BR_T01_Poc_0.92_98_34,2013,0,2013,100,Year +0,2.6,3,2,0,8.512862819149586,Recruited
LTER1_BR_T01_Poc_0.92_98_34,2013,1,2014,83,Year +1,3.5,1.6,2.8,0,9.56128210082258,Surviving
LTER1_BR_T01_Poc_0.92_98_34,2013,2,2015,67,Year +2,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_0.92_98_34,2013,3,2016,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.92_98_34,2013,4,2017,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.92_98_34,2013,5,2018,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.94_98_34,2013,0,2013,100,Year +0,0.5,0.6,0.5,0,0.07943187351298636,Recruited
LTER1_BR_T01_Poc_0.94_98_34,2013,1,2014,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_0.94_98_34,2013,2,2015,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.94_98_34,2013,3,2016,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.94_98_34,2013,4,2017,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.94_98_34,2013,5,2018,17,Year +5,NA,NA,NA,0,NA,Surviving
